"department","minister"
125,28
278,4
134,1
158,25
137,15
62,1
275,25
5,25
6,25
7,26
7,27
8,26
8,27
9,27
13,25
14,1
15,36
16,25
19,25
20,11
21,25
29,5
30,36
31,36
32,21
33,33
36,11
37,5
40,9
41,5
42,33
43,36
44,9
48,1
49,1
212,25
51,25
53,5
57,28
58,17
61,18
67,24
168,25
69,18
70,5
75,11
166,25
80,18
169,25
167,25
81,5
82,5
84,5
85,5
88,18
180,5
92,5
163,25
94,8
107,5
97,20
103,26
103,27
105,25
156,25
214,25
115,8
164,25
165,25
119,9
120,24
142,25
146,17
147,18
148,25
157,28
181,26
181,27
182,11
186,26
188,28
189,27
191,15
192,36
194,35
195,15
197,25
198,21
208,9
202,25
203,1
204,11
206,29
217,5
222,18
234,11
224,5
256,21
226,5
232,25
231,4
268,27
249,4
271,25
258,25
259,25
260,15
261,25
301,25
269,11
270,15
276,25
281,13
308,5
300,25
286,25
287,25
309,25
310,25
323,9
293,27
294,36
298,25
299,25
297,8
304,25
311,25
340,25
312,11
315,5
316,5
318,25
319,25
321,25
320,5
327,25
329,25
330,25
334,25
335,25
336,35
337,15
338,25
344,35
347,17
199,5
350,23
246,6
87,1
59,5
56,29
328,5
138,25
201,1
228,11
296,8
11,1
1,18
126,27
126,17
126,26
126,20
135,8
135,2
247,8
250,13
345,22
333,32
288,21
132,21
123,12
95,11
150,44
139,32
139,34
253,36
280,29
266,29
93,5
114,11
127,29
242,19
263,15
223,5
98,19
65,29
65,18
227,8
230,10
230,11
313,11
26,8
26,2
46,16
237,35
237,38
272,35
136,9
292,25
233,15
302,4
117,8
221,1
110,24
129,30
129,31
348,14
241,13
239,19
552,30
552,31
190,15
326,13
339,35
210,24
12,11
282,19
351,36
145,36
140,44
183,36
185,36
187,36
213,36
539,21
141,44
141,11
306,11
96,5
209,24
235,1
76,39
47,13
305,43
218,5
248,21
274,5
122,44
122,40
122,5
73,29
55,41
50,29
238,36
174,12
63,15
86,44
244,4
295,8
240,21
558,3
121,5
341,5
118,21
74,29
22,5
38,29
547,29
89,29
90,29
71,21
99,25
175,30
133,24
133,34
133,32
124,42
124,36
128,41
128,33
128,3
128,7
130,38
130,44
130,17
130,11
130,37
130,10
151,36
35,11
219,9
152,36

