DeptCode,Age,Y1112,Y1213,Y1314,Y1415,Y1516,Five_year_avg_percent
ACOA,eng,441,376,378,403,408,0.65193
ACOA,fre,235,213,212,200,206,0.34644
ACOA,unknown,1,1,1,1,1,0.00162
AECB,eng,557,564,545,546,584,0.6635
AECB,fre,270,266,256,257,261,0.31087
AECB,unknown,37,26,20,19,6,0.02563
AGR,eng,5182,4700,4194,4116,4102,0.78814
AGR,fre,1400,1227,1061,1046,1023,0.20352
AGR,unknown,62,64,36,32,42,0.00834
AHRAC,sup,14,.,.,.,.,1
APPRT,sup,10,3,.,.,.,1
ATSSC,eng,.,.,.,155,178,0.46058
ATSSC,fre,.,.,.,194,196,0.53942
CAS,eng,333,322,317,324,349,0.51681
CAS,fre,325,299,297,294,319,0.48194
CAS,unknown,2,2,.,.,.,0.00126
CAT,sup,10,9,9,,,1
CB,sup,14,15,13,17,14,1
CBSA,eng,11253,10809,10715,10776,10923,0.76395
CBSA,fre,3389,3348,3322,3281,3248,0.23262
CBSA,unknown,68,61,59,56,.,0.00342
CCMD,eng,320,238,219,225,238,0.3552
CCMD,fre,594,418,405,420,402,0.64136
CCMD,unknown,1,1,1,1,8,0.00344
CCRA,eng,33016,32022,31384,31355,30943,0.77901
CCRA,fre,9600,9187,8848,8662,8505,0.21989
CCRA,unknown,52,47,47,42,36,0.0011
CDC,eng,27,24,20,25,31,0.43945
CDC,fre,36,35,31,30,28,0.55363
CDC,unknown,.,.,.,1,1,0.00692
CEAA,eng,151,139,149,149,161,0.6369
CEAA,fre,89,80,81,80,92,0.35884
CEAA,unknown,.,.,.,.,5,0.00425
CEO,eng,254,240,267,328,308,0.49768
CEO,fre,274,255,253,302,326,0.50232
CFGB,eng,14,14,15,18,14,0.39894
CFGB,fre,22,24,22,24,21,0.60106
CFIA,eng,4472,4220,4332,4187,4244,0.68978
CFIA,fre,1444,1391,1428,1395,1415,0.2274
CFIA,unknown,664,643,555,427,287,0.08282
CGC,eng,600,567,372,363,366,0.8968
CGC,fre,54,46,32,36,37,0.08106
CGC,unknown,26,12,9,9,.,0.02214
CH,eng,777,673,704,679,684,0.38691
CH,fre,1204,1080,1116,1092,1065,0.61133
CH,unknown,.,.,1,2,13,0.00176
CHRC,eng,113,118,108,113,109,0.5436
CHRC,fre,96,97,91,91,96,0.4564
CHRT,eng,11,10,7,.,.,0.45902
CHRT,fre,9,11,13,.,.,0.54098
CI,eng,3670,3515,4102,4514,4548,0.7074
CI,fre,1340,1268,1749,1822,1908,0.28113
CI,unknown,7,67,76,49,131,0.01147
CICS,eng,7,9,10,9,8,0.38053
CICS,fre,14,14,14,14,14,0.61947
CIDA,eng,803,696,.,.,.,0.43601
CIDA,fre,1038,898,.,.,.,0.56312
CIDA,unknown,2,1,.,.,.,0.00087
CIHR,eng,267,253,265,290,253,0.64124
CIHR,fre,154,138,144,139,156,0.35297
CIHR,unknown,3,3,3,3,.,0.00579
CIRB,eng,35,31,33,.,.,0.3694
CIRB,fre,54,60,55,.,.,0.6306
CITT,eng,34,32,37,.,.,0.45374
CITT,fre,43,41,40,.,.,0.54626
CNEDA,eng,.,.,.,66,66,0.86842
CNEDA,fre,.,.,.,9,9,0.11842
CNEDA,unknown,.,.,.,.,2,0.01316
CPAC,eng,.,.,.,5,7,0.13333
CPAC,fre,.,.,.,14,12,0.28889
CPAC,sup,16,16,17,.,.,0.57778
CPCC,eng,.,.,.,.,22,0.32836
CPCC,fre,.,.,.,.,7,0.10448
CPCC,sup,4,9,11,14,.,0.56716
CRTC,eng,218,215,204,213,214,0.47458
CRTC,fre,233,229,231,249,235,0.52498
CRTC,unknown,.,.,.,.,1,0.00045
CSA,eng,245,217,190,175,184,0.3106
CSA,fre,509,446,431,425,432,0.68909
CSA,unknown,1,.,.,.,.,0.00031
CSC,eng,13396,13047,12955,12546,12355,0.70984
CSC,fre,5493,5323,5181,4975,4813,0.28466
CSC,unknown,123,131,123,118,4,0.00551
CSEC,eng,1438,1515,1592,1601,1624,0.73573
CSEC,fre,406,433,465,487,471,0.21418
CSEC,unknown,141,127,114,80,67,0.05009
CTA,eng,138,125,120,135,144,0.55537
CTA,fre,112,118,98,106,95,0.44379
CTA,unknown,.,1,.,.,.,0.00084
CTAIB,eng,139,132,134,136,130,0.63966
CTAIB,fre,76,69,68,76,85,0.35653
CTAIB,unknown,1,1,1,1,.,0.00381
EA,eng,4882,4724,3708,3734,3644,0.63251
EA,fre,2615,2492,2291,2237,2204,0.36189
EA,unknown,58,53,28,2,42,0.00559
EC,eng,4708,4497,4648,4697,4562,0.70485
EC,fre,1991,1870,1889,1889,1837,0.28899
EC,unknown,63,41,13,9,76,0.00616
ERC,sup,3,6,5,6,7,1
FCAC,eng,23,26,31,41,49,0.42821
FCAC,fre,24,26,27,25,31,0.33501
FCAC,unknown,21,21,20,18,14,0.23678
FEDSO,eng,207,207,212,201,206,0.93315
FEDSO,fre,17,11,12,17,14,0.06414
FEDSO,unknown,1,.,.,.,2,0.00271
FIN,eng,515,494,480,464,479,0.64578
FIN,fre,266,262,271,278,250,0.35236
FIN,unknown,.,.,.,1,6,0.00186
FJA,eng,25,26,20,16,22,0.35855
FJA,fre,41,41,38,38,37,0.64145
FO,eng,8413,7942,7679,7695,7627,0.77269
FO,fre,2466,2293,2227,2121,2194,0.22188
FO,unknown,44,59,52,42,80,0.00544
FORDQ,eng,18,14,12,12,8,0.03653
FORDQ,fre,383,325,336,319,325,0.96347
FTRAC,eng,249,239,221,231,246,0.64951
FTRAC,fre,127,135,126,124,127,0.34995
FTRAC,unknown,.,.,.,.,1,0.00055
GG,eng,62,58,61,64,70,0.39326
GG,fre,104,100,94,92,96,0.60674
GSC,eng,7069,6205,5806,5940,5970,0.50031
GSC,fre,6585,5927,6161,6147,6083,0.4989
GSC,unknown,24,12,.,5,8,0.00079
H,eng,8349,7508,7281,7115,7268,0.78352
H,fre,2216,1994,1973,1909,1891,0.20847
H,unknown,13,199,87,55,30,0.00802
HMIRC,eng,30,22,.,.,.,0.73239
HMIRC,fre,10,8,.,.,.,0.25352
HMIRC,unknown,.,1,.,.,.,0.01408
HRSD,eng,14875,13232,13924,14419,15019,0.66225
HRSD,fre,7783,6728,7078,7205,7286,0.33433
HRSD,unknown,98,86,95,83,7,0.00342
IJC,eng,15,18,19,20,26,0.63226
IJC,fre,5,5,7,8,6,0.2
IJC,unknown,8,9,5,4,.,0.16774
INAC,eng,4119,3788,3714,3563,3452,0.76044
INAC,fre,1273,1171,1128,1107,1080,0.23499
INAC,unknown,17,16,15,14,50,0.00457
IOG,eng,79,84,85,80,85,1
IPC,eng,151,142,140,167,150,0.56264
IPC,fre,122,116,121,115,109,0.43736
IRB,eng,723,704,672,645,678,0.68385
IRB,fre,337,327,309,306,290,0.31355
IRB,unknown,.,3,2,3,5,0.0026
ISC,eng,3287,2988,2951,2985,3026,0.6281
ISC,fre,1947,1789,1761,1750,1733,0.37017
ISC,unknown,7,5,6,7,17,0.00173
JJJ,eng,752,766,798,836,851,0.71482
JJJ,fre,216,223,222,232,245,0.20321
JJJ,unknown,137,111,90,76,45,0.08196
JUS,eng,3427,3125,3012,2953,3041,0.66584
JUS,fre,1594,1495,1456,1428,1419,0.31636
JUS,unknown,109,105,106,95,1,0.0178
LAC,eng,608,476,570,545,475,0.52794
LAC,fre,537,437,473,481,463,0.47206
MPCC,eng,8,12,7,14,14,0.57292
MPCC,fre,8,6,7,8,12,0.42708
ND,eng,20785,19125,17763,17370,17601,0.76675
ND,fre,6364,5789,5361,5220,5318,0.23217
ND,unknown,28,25,22,21,35,0.00108
NEB,eng,346,361,390,401,421,0.89007
NEB,fre,31,28,27,27,32,0.06725
NEB,unknown,19,20,18,19,16,0.04267
NFB,eng,66,94,83,84,89,0.19866
NFB,fre,295,317,289,269,279,0.69198
NFB,unknown,64,55,48,41,21,0.10936
NPB,eng,278,288,294,297,275,0.63503
NPB,fre,150,166,164,170,170,0.36364
NPB,unknown,.,.,1,.,2,0.00133
NR,eng,3362,3153,3070,3046,3081,0.72771
NR,fre,1290,1192,1147,1090,1076,0.2684
NR,unknown,7,16,14,13,34,0.00389
NRC,eng,2617,2360,2433,2507,2682,0.68465
NRC,fre,857,780,786,858,989,0.23204
NRC,unknown,471,385,315,253,109,0.08331
NRTEE,eng,21,.,.,.,.,0.6
NRTEE,fre,11,.,.,.,.,0.31429
NRTEE,sup,.,3,.,.,.,0.08571
NSERC,eng,208,203,204,216,229,0.50428
