dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
ACOA,nl,100,94,97,98,93
ACOA,mb,.,1,1,.,.
ACOA,na,.,.,.,2,.
ACOA,nb,312,309,301,313,301
ACOA,ncr,26,25,25,25,25
ACOA,ns,99,107,130,128,124
ACOA,pe,53,55,50,49,50
AECB,ab,10,8,8,8,8
AECB,abroad,1,1,.,2,.
AECB,na,.,.,.,.,54
AECB,nb,5,4,4,6,5
AECB,ncr,786,756,758,776,734
AECB,onlessncr,31,33,34,43,42
AECB,qclessncr,11,8,7,7,6
AECB,sk,12,11,11,9,10
AGR,ab,494,460,486,475,505
AGR,abroad,2,2,.,.,.
AGR,bc,254,214,206,209,209
AGR,nl,36,30,35,39,31
AGR,mb,843,720,672,626,641
AGR,na,.,.,.,62,21
AGR,nb,145,131,127,148,139
AGR,ncr,2190,1950,1924,1870,2029
AGR,ns,135,128,127,139,120
AGR,nu,1,.,.,.,.
AGR,onlessncr,401,354,371,359,365
AGR,pe,80,87,91,95,91
AGR,qclessncr,596,518,515,510,503
AGR,sk,813,696,639,634,579
AGR,yt,1,1,1,1,1
APPRT,ncr,3,.,.,.,.
ATSSC,bc,.,.,5,6,2
ATSSC,mb,.,.,2,1,1
ATSSC,na,.,.,.,1,15
ATSSC,ncr,.,.,322,345,538
ATSSC,ns,.,.,2,2,2
ATSSC,onlessncr,.,.,7,7,5
ATSSC,qclessncr,.,.,11,12,7
CAS,ab,11,10,13,12,11
CAS,bc,31,25,26,35,30
CAS,nl,.,.,.,2,2
CAS,mb,5,5,6,6,3
CAS,na,.,.,.,.,6
CAS,nb,2,1,2,2,2
CAS,ncr,448,442,445,479,459
CAS,ns,3,3,3,3,4
CAS,onlessncr,67,71,67,76,70
CAS,qclessncr,56,57,56,53,49
CAT,ncr,9,9,.,.,.
CB,na,.,.,.,.,1
CB,ncr,15,13,17,14,13
CBSA,ab,502,507,526,506,504
CBSA,abroad,9,5,6,12,27
CBSA,bc,1779,1744,1787,1839,1811
CBSA,nl,73,73,71,76,74
CBSA,mb,508,482,486,475,458
CBSA,na,.,.,.,2,125
CBSA,nb,408,405,399,391,380
CBSA,ncr,4476,4679,4618,4581,4380
CBSA,ns,283,293,271,271,248
CBSA,nt,1,1,2,2,2
CBSA,nu,2,2,1,2,.
CBSA,onlessncr,3870,3671,3735,3791,3566
CBSA,pe,15,15,13,5,3
CBSA,qclessncr,2100,2023,2000,2034,1960
CBSA,sk,168,174,168,163,150
CBSA,yt,24,22,30,21,19
CCMD,ab,4,8,10,10,8
CCMD,bc,11,13,14,14,13
CCMD,nl,1,.,.,2,2
CCMD,mb,14,15,10,12,8
CCMD,na,.,.,.,4,7
CCMD,nb,10,10,10,9,8
CCMD,ncr,556,523,545,543,522
CCMD,ns,10,10,8,7,10
CCMD,nt,1,1,.,.,.
CCMD,onlessncr,16,20,24,21,16
CCMD,qclessncr,33,23,23,24,15
CCMD,sk,.,1,1,1,.
CCMD,yt,1,1,1,1,1
CCRA,ab,2558,2524,2482,2400,2513
CCRA,bc,4823,4630,4589,4485,4309
CCRA,nl,1296,1256,1306,1157,1329
CCRA,mb,2616,2518,2475,2446,2696
CCRA,na,.,.,.,9,48
CCRA,nb,622,613,649,623,642
CCRA,ncr,11262,11040,11129,11091,11337
CCRA,ns,709,690,702,683,681
CCRA,onlessncr,10391,10146,10031,10031,10046
CCRA,pe,1117,1173,1154,1131,1107
CCRA,qclessncr,5269,5075,4977,4898,4992
CCRA,sk,593,614,565,530,523
CDC,na,.,.,.,1,4
CDC,ncr,59,51,56,59,57
CEAA,ab,6,11,9,8,9
CEAA,bc,26,29,30,31,33
CEAA,mb,8,3,.,.,.
CEAA,na,.,.,.,15,5
CEAA,ncr,140,154,149,164,196
CEAA,ns,10,9,12,10,14
CEAA,onlessncr,20,14,17,19,19
CEAA,qclessncr,9,10,11,11,13
CEAA,yt,.,.,1,.,.
CEO,na,.,.,.,.,1
CEO,ncr,495,520,630,634,583
CFGB,bc,.,.,.,1,.
CFGB,na,.,.,.,.,2
CFGB,ncr,38,37,42,34,37
CFIA,ab,587,587,547,543,530
CFIA,bc,527,509,499,498,500
CFIA,nl,128,128,121,118,103
CFIA,mb,279,271,252,251,265
CFIA,na,.,.,.,19,5
CFIA,nb,286,305,274,261,271
CFIA,ncr,1749,1799,1685,1743,1961
CFIA,ns,193,198,186,190,189
CFIA,onlessncr,1057,1095,1038,999,996
CFIA,pe,133,141,158,132,121
CFIA,qclessncr,1078,1060,1019,967,1017
CFIA,sk,237,222,230,225,222
CGC,ab,4,4,4,4,4
CGC,bc,218,103,101,98,103
CGC,mb,269,223,226,224,249
CGC,na,.,.,.,1,5
CGC,ncr,1,1,1,1,1
CGC,onlessncr,79,41,32,30,25
CGC,qclessncr,45,32,35,36,39
CGC,sk,9,9,9,9,9
CH,ab,10,10,11,11,10
CH,bc,39,45,39,43,39
CH,nl,11,11,14,9,7
CH,mb,25,24,22,21,24
CH,na,.,.,.,15,114
CH,nb,22,26,27,26,25
CH,ncr,1491,1560,1518,1498,1407
CH,ns,14,14,16,12,11
CH,nt,1,1,1,1,1
CH,onlessncr,57,58,49,50,54
CH,pe,9,5,8,7,4
CH,qclessncr,59,56,55,58,54
CH,sk,13,11,12,10,8
CH,yt,2,.,1,1,1
CHRC,ab,7,5,6,5,5
CHRC,bc,1,1,1,1,.
CHRC,mb,4,4,3,3,4
CHRC,na,.,.,.,.,4
CHRC,ncr,195,182,187,191,174
CHRC,onlessncr,2,1,1,1,.
CHRC,qclessncr,6,6,6,4,4
CHRT,ncr,21,20,.,.,.
CI,ab,330,326,307,374,325
CI,abroad,232,226,230,230,223
CI,bc,169,200,238,230,203
CI,nl,7,6,9,8,5
CI,mb,59,58,72,76,56
CI,na,.,.,.,173,108
CI,nb,13,12,11,16,10
CI,ncr,2324,3086,3329,3406,3532
CI,ns,513,671,788,718,707
CI,nt,1,1,1,1,1
CI,onlessncr,748,760,828,760,731
CI,pe,1,1,1,.,.
CI,qclessncr,432,555,550,569,533
CI,sk,21,25,20,26,31
CI,yt,.,.,1,.,.
CICS,ncr,23,24,23,22,22
CIHR,na,.,.,.,2,1
CIHR,ncr,394,412,432,407,461
CIRB,bc,3,4,.,.,.
CIRB,mb,2,2,.,.,.
CIRB,ncr,67,64,.,.,.
CIRB,ns,2,3,.,.,.
CIRB,onlessncr,6,7,.,.,.
CIRB,qclessncr,11,8,.,.,.
CITT,ncr,73,77,.,.,.
CNEDA,bc,.,.,1,.,.
CNEDA,na,.,.,.,3,6
CNEDA,ncr,.,.,21,22,16
CNEDA,nt,.,.,18,16,19
CNEDA,nu,.,.,24,25,26
CNEDA,yt,.,.,11,11,11
CPAC,ab,.,.,.,1,.
CPAC,ncr,16,17,19,18,.
CPCC,na,.,.,.,.,1
CPCC,ncr,7,10,13,26,24
CPCC,nt,1,1,1,1,.
CPCC,nu,.,.,.,2,2
CPCC,yt,1,.,.,.,.
CRTC,ab,2,2,2,2,2
CRTC,bc,6,5,5,5,5
CRTC,mb,2,2,2,2,1
CRTC,na,.,.,.,4,1
CRTC,ncr,421,413,441,422,444
CRTC,ns,4,4,3,4,3
CRTC,onlessncr,1,2,2,2,2
CRTC,qclessncr,6,5,5,7,3
CRTC,sk,2,2,2,2,1
CSA,abroad,11,8,6,6,.
CSA,na,.,.,.,.,4
CSA,ncr,52,47,51,59,1
CSA,onlessncr,1,.,1,.,59
CSA,qclessncr,599,566,542,551,591
CSC,ab,2097,2001,2012,2028,2046
CSC,bc,2701,2752,2693,2621,2616
CSC,nl,41,44,42,42,43
CSC,mb,638,658,627,639,645
CSC,na,.,.,.,10,98
CSC,nb,1172,1146,1166,1138,1110
CSC,ncr,1505,1467,1332,1251,1296
CSC,ns,626,699,654,615,628
CSC,nt,3,2,2,3,3
CSC,nu,.,1,1,1,3
CSC,onlessncr,4056,3949,3795,3642,3512
CSC,pe,17,11,5,5,6
CSC,qclessncr,4130,4010,3835,3712,3626
CSC,sk,1515,1518,1474,1464,1477
CSC,yt,.,1,1,1,.
CSEC,na,.,.,.,.,2209
CSEC,ncr,2074,2170,2168,2162,.
CSEC,onlessncr,1,1,.,.,.
CTA,ab,1,1,1,1,.
CTA,bc,1,1,1,1,.
CTA,mb,1,.,.,.,.
CTA,na,.,.,.,2,2
CTA,nb,1,1,1,1,.
CTA,ncr,238,213,236,232,221
CTA,onlessncr,1,1,1,1,.
CTA,qclessncr,1,1,1,1,.
CTAIB,ab,6,10,10,9,8
CTAIB,bc,13,12,11,14,14
CTAIB,mb,10,10,10,9,9
CTAIB,na,.,.,.,.,2
CTAIB,ncr,146,140,145,141,136
CTAIB,ns,10,11,11,13,13
CTAIB,onlessncr,7,7,10,12,11
CTAIB,qclessncr,10,13,16,17,16
EA,ab,140,11,15,18,11
