dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
ACOA,eng,376,378,403,408,381
ACOA,fre,213,212,200,206,212
ACOA,na,1,1,1,1,.
AECB,eng,564,545,546,584,576
AECB,fre,266,256,257,261,242
AECB,na,26,20,19,6,41
AGR,eng,4700,4194,4116,4102,4120
AGR,fre,1227,1061,1046,1023,1113
AGR,na,64,36,32,42,1
APPRT,eng,1,.,.,.,.
APPRT,fre,2,.,.,.,.
ATSSC,eng,.,.,155,178,306
ATSSC,fre,.,.,194,196,259
ATSSC,na,.,.,.,.,5
CAS,eng,322,317,324,349,326
CAS,fre,299,297,294,319,310
CAS,na,2,.,.,.,.
CAT,eng,6,6,.,.,.
CAT,fre,3,3,.,.,.
CB,eng,1,2,3,2,5
CB,fre,14,11,14,12,9
CBSA,eng,10809,10715,10776,10923,10507
CBSA,fre,3348,3322,3281,3248,3167
CBSA,na,61,59,56,.,33
CCMD,eng,238,219,225,238,207
CCMD,fre,418,405,420,402,403
CCMD,na,1,1,1,8,.
CCRA,eng,32022,31384,31355,30943,31460
CCRA,fre,9187,8848,8662,8505,8762
CCRA,na,47,47,42,36,1
CDC,eng,24,20,25,31,30
CDC,fre,35,31,30,28,31
CDC,na,.,.,1,1,.
CEAA,eng,139,149,149,161,193
CEAA,fre,80,81,80,92,95
CEAA,na,.,.,.,5,1
CEO,eng,240,267,328,308,267
CEO,fre,255,253,302,326,317
CFGB,eng,14,15,18,14,10
CFGB,fre,24,22,24,21,29
CFIA,eng,4220,4332,4187,4244,4532
CFIA,fre,1391,1428,1395,1415,1646
CFIA,na,643,555,427,287,2
CGC,eng,567,372,363,366,395
CGC,fre,46,32,36,37,40
CGC,na,12,9,9,.,.
CH,eng,673,704,679,684,626
CH,fre,1080,1116,1092,1065,1052
CH,na,.,1,2,13,81
CHRC,eng,118,108,113,109,96
CHRC,fre,97,91,91,96,93
CHRC,na,.,.,.,.,2
CHRT,eng,10,7,.,.,.
CHRT,fre,11,13,.,.,.
CI,eng,3515,4102,4514,4548,4431
CI,fre,1268,1749,1822,1908,2016
CI,na,67,76,49,131,18
CICS,eng,9,10,9,8,6
CICS,fre,14,14,14,14,16
CIHR,eng,253,265,290,253,287
CIHR,fre,138,144,139,156,174
CIHR,na,3,3,3,.,1
CIRB,eng,31,33,.,.,.
CIRB,fre,60,55,.,.,.
CITT,eng,32,37,.,.,.
CITT,fre,41,40,.,.,.
CNEDA,eng,.,.,66,66,62
CNEDA,fre,.,.,9,9,11
CNEDA,na,.,.,.,2,5
CPAC,eng,4,4,5,7,.
CPAC,fre,12,13,14,12,.
CPCC,eng,7,8,10,22,18
CPCC,fre,2,3,4,7,8
CPCC,na,.,.,.,.,1
CRTC,eng,215,204,213,214,215
CRTC,fre,229,231,249,235,247
CRTC,na,.,.,.,1,.
CSA,eng,217,190,175,184,198
CSA,fre,446,431,425,432,455
CSA,na,.,.,.,.,2
CSC,eng,13047,12955,12546,12355,12311
CSC,fre,5323,5181,4975,4813,4778
CSC,na,131,123,118,4,20
CSEC,eng,1515,1592,1601,1624,1529
CSEC,fre,433,465,487,471,439
CSEC,na,127,114,80,67,241
CTA,eng,125,120,135,144,140
CTA,fre,118,98,106,95,83
CTA,na,1,.,.,.,.
CTAIB,eng,132,134,136,130,125
CTAIB,fre,69,68,76,85,84
CTAIB,na,1,1,1,.,.
EA,eng,5420,3708,3734,3644,3651
EA,fre,3390,2291,2237,2204,2398
EA,na,54,28,2,42,12
EC,eng,4497,4648,4697,4562,4595
EC,fre,1870,1889,1889,1837,2000
EC,na,41,13,9,76,6
ERC,eng,4,3,4,5,.
ERC,fre,2,2,2,2,.
ERC,sup,.,.,.,.,6
FCAC,eng,26,31,41,49,61
FCAC,fre,26,27,25,31,38
FCAC,na,21,20,18,14,.
FEDSO,eng,207,212,201,206,183
FEDSO,fre,11,12,17,14,13
FEDSO,na,.,.,.,2,21
FIN,eng,494,480,464,479,488
FIN,fre,262,271,278,250,257
FIN,na,.,.,1,6,2
FJA,eng,26,20,16,22,17
FJA,fre,41,38,38,37,42
FO,eng,7942,7679,7695,7627,7831
FO,fre,2293,2227,2121,2194,2335
FO,na,59,52,42,80,64
FORDQ,eng,14,12,12,8,10
FORDQ,fre,325,336,319,325,326
FTRAC,eng,239,221,231,246,223
FTRAC,fre,135,126,124,127,137
FTRAC,na,.,.,.,1,18
GG,eng,58,61,64,70,61
GG,fre,100,94,92,96,88
GSC,eng,6205,5806,5940,5970,6436
GSC,fre,5927,6161,6147,6083,6435
GSC,na,12,.,5,8,23
H,eng,7508,7281,7115,7268,7399
H,fre,1994,1973,1909,1891,1923
H,na,199,87,55,30,5
HMIRC,eng,22,.,.,.,.
HMIRC,fre,8,.,.,.,.
