dept_code,dimension,ppl_last_year_5,ppl_last_year_4,ppl_last_year_3,ppl_last_year_2,ppl_last_year
ACOA,female,385,384,388,398,382
ACOA,male,205,207,216,217,211
AECB,female,391,373,378,387,405
AECB,male,465,448,444,464,454
AGR,female,2977,2622,2605,2620,2662
AGR,male,3014,2669,2589,2547,2572
APPRT,female,2,.,.,.,.
APPRT,male,1,.,.,.,.
ATSSC,female,.,.,226,237,353
ATSSC,male,.,.,123,137,207
ATSSC,na,.,.,.,.,10
CAS,female,417,401,400,430,424
CAS,male,206,213,218,238,212
CAT,female,7,6,.,.,.
CAT,male,2,3,.,.,.
CB,female,7,5,9,6,4
CB,male,8,8,8,8,10
CBSA,female,7143,7019,6918,6924,6570
CBSA,male,7075,7077,7195,7247,7135
CBSA,na,.,.,.,.,2
CCMD,female,429,418,428,437,400
CCMD,male,228,207,218,211,210
CCRA,female,24849,24115,23878,23473,23770
CCRA,male,16407,16164,16181,16011,16453
CDC,female,34,34,34,36,35
CDC,male,25,17,22,24,26
CEAA,female,145,158,160,177,186
CEAA,male,74,72,69,81,103
CEO,female,250,259,325,322,314
CEO,male,245,261,305,312,270
CFGB,female,26,27,26,21,26
CFGB,male,12,10,16,14,13
CFIA,female,3528,3584,3420,3423,3631
CFIA,male,2726,2731,2589,2523,2549
CGC,female,242,171,177,178,196
CGC,male,383,242,231,225,239
CH,female,1181,1205,1173,1166,1162
CH,male,572,616,600,596,596
CH,na,.,.,.,.,1
CHRC,female,141,131,135,141,137
CHRC,male,74,68,69,64,54
CHRT,female,15,12,.,.,.
CHRT,male,6,8,.,.,.
CI,female,3258,3896,4214,4340,4259
CI,male,1592,2031,2171,2246,2205
CI,na,.,.,.,1,1
CICS,female,10,11,10,10,9
CICS,male,13,13,13,12,13
CIHR,female,275,294,305,283,316
CIHR,male,119,118,127,126,146
CIRB,female,58,63,.,.,.
CIRB,male,33,25,.,.,.
CITT,female,46,47,.,.,.
CITT,male,27,30,.,.,.
CNEDA,female,.,.,46,46,46
CNEDA,male,.,.,29,31,32
CPAC,female,9,9,11,10,.
CPAC,male,7,8,8,9,.
CPCC,female,4,7,7,19,16
CPCC,male,5,4,7,10,11
CRTC,female,260,249,245,240,250
CRTC,male,184,186,217,210,212
CSA,female,264,258,245,258,264
CSA,male,399,363,355,358,391
CSC,female,8944,8805,8402,8196,8238
CSC,male,9557,9454,9237,8976,8871
CSEC,female,747,784,794,781,798
CSEC,male,1328,1387,1374,1381,1410
CSEC,na,.,.,.,.,1
CTA,female,138,124,146,142,135
CTA,male,106,94,95,97,88
CTAIB,female,68,68,67,67,68
CTAIB,male,134,135,146,148,141
EA,female,5209,3323,3278,3268,3391
EA,male,3655,2704,2695,2622,2668
EA,na,.,.,.,.,2
EC,female,3055,3126,3220,3135,3227
EC,male,3353,3424,3375,3338,3369
EC,na,.,.,.,2,5
ERC,female,2,1,3,3,.
ERC,male,4,4,3,4,.
ERC,sup,.,.,.,.,6
FCAC,female,39,44,43,50,53
FCAC,male,34,34,41,44,46
FEDSO,female,134,139,141,140,131
FEDSO,male,84,85,77,82,86
FIN,female,359,362,352,347,351
FIN,male,397,389,391,388,396
FJA,female,44,37,35,38,41
FJA,male,23,21,19,21,18
FO,female,3818,3684,3694,3797,3987
FO,male,6476,6274,6164,6104,6243
FORDQ,female,198,200,190,191,199
FORDQ,male,141,148,141,142,136
FORDQ,na,.,.,.,.,1
FTRAC,female,203,189,196,198,196
FTRAC,male,171,158,159,176,182
GG,female,96,91,92,101,94
GG,male,62,64,64,65,55
GSC,female,7057,6994,7098,7102,7624
GSC,male,5087,4973,4994,4959,5246
GSC,na,.,.,.,.,24
H,female,6363,6153,6034,6121,6207
H,male,3338,3188,3045,3068,3120
HMIRC,female,20,.,.,.,.
HMIRC,male,11,.,.,.,.
HRSD,female,14024,14695,15020,15326,16252
HRSD,male,6022,6402,6687,6986,7477
IJC,female,12,13,14,13,16
IJC,male,20,18,18,19,16
INAC,female,3211,3139,3061,2981,3061
INAC,male,1764,1718,1623,1601,1647
IOG,female,59,58,54,58,56
IOG,male,25,27,26,27,32
IPC,female,162,161,171,160,154
IPC,male,96,100,111,99,107
IRB,female,657,617,587,597,624
IRB,male,377,366,367,376,388
IRB,na,.,.,.,.,19
ISC,female,2396,2370,2421,2426,2558
ISC,male,2386,2348,2321,2350,2385
ISC,na,.,.,.,.,4
JUS,female,3198,3113,3049,3058,3057
JUS,male,1527,1461,1427,1403,1404
LAC,female,536,624,615,569,568
LAC,male,377,419,411,369,362
MPCC,female,12,10,15,20,20
MPCC,male,6,4,7,6,5
ND,female,9869,9134,9020,9248,9266
ND,male,15070,14012,13591,13702,13864
ND,na,.,.,.,4,48
NEB,female,249,262,277,289,276
NEB,male,160,173,170,180,180
NFB,female,264,238,219,218,207
NFB,male,202,182,175,171,164
NPB,female,341,346,351,336,340
NPB,male,113,113,116,111,108
NR,female,1941,1897,1880,1890,1960
NR,male,2420,2334,2269,2301,2304
NRC,female,1235,1237,1276,1341,1370
NRC,male,2290,2297,2342,2439,2485
NRC,na,.,.,.,.,9
NRTEE,female,2,.,.,.,.
NRTEE,male,1,.,.,.,.
NSERC,female,261,271,272,287,287
NSERC,male,146,138,146,157,155
OAG,female,380,366,353,366,382
OAG,male,231,215,218,222,232
OAG,na,.,.,.,.,3
OCI,female,16,23,19,22,21
OCI,male,17,17,16,15,15
OCOL,female,112,114,121,111,99
OCOL,male,50,57,51,53,56
ODPP,female,637,655,647,648,659
ODPP,male,317,314,321,322,331
OICC,female,186,180,208,200,181
OICC,male,122,108,146,151,148
OPSIC,female,20,20,19,18,15
OPSIC,male,11,8,6,8,9
ORL,female,14,11,12,13,11
ORL,male,12,15,15,13,13
OSFI,female,316,331,342,323,331
OSFI,male,322,353,358,344,353
OSFI,na,.,.,.,.,4
PCA,female,1380,1502,1615,1845,1943
PCA,male,1543,1673,1779,2041,2033
PCC,female,42,43,43,39,35
PCC,male,18,22,31,32,32
PCO,female,414,417,404,404,466
PCO,male,340,334,324,308,333
PHAC,female,1479,1480,1493,1528,1538
PHAC,male,684,695,693,695,695
PHAC,na,.,.,.,.,1
PMPRB,female,34,34,34,42,40
PMPRB,male,19,21,26,27,29
PSC,female,571,471,480,488,513
PSC,male,294,265,258,253,267
PSEP,female,658,633,574,674,686
PSEP,male,454,424,404,451,463
PSSRB,female,61,56,.,.,.
PSSRB,male,35,35,.,.,.
PSST,female,20,20,.,.,.
PSST,male,12,11,.,.,.
RCMP,female,4722,4724,5026,5093,5236
RCMP,male,1249,1341,1411,1474,1545
RCMP,na,.,.,.,4,20
RPSDP,female,8,7,.,.,.
RPSDP,male,1,2,.,.,.
RSCT,female,4,4,.,.,.
RSCT,male,6,5,.,.,.
SC,female,3497,3653,3653,4210,3890
SC,male,2634,2853,2879,3208,3094
SCC,female,133,130,125,130,135
SCC,male,83,89,88,82,81
SHARE,female,1691,1764,1706,1674,1735
SHARE,male,3608,3630,3530,3483,3521
SHARE,na,.,.,.,.,1
SIRC,female,9,10,10,12,12
SIRC,male,6,6,8,8,10
SSHRC,female,145,143,150,149,156
SSHRC,male,54,62,59,61,55
SWC,female,86,88,80,77,88
SWC,male,14,10,12,14,11
TBC,female,1168,1105,1098,1060,1130
TBC,male,692,673,663,668,704
TBC,na,.,.,.,.,7
TC,female,2140,2170,2374,2342,2116
TC,male,2638,2601,2831,2812,2665
TC,na,.,.,.,.,1
TRC,female,15,8,3,.,.
TRC,male,10,7,6,.,.
VAC,female,2635,2308,2327,2496,2045
VAC,male,967,880,847,917,754
VAC,na,.,.,.,.,10
VRAB,female,.,.,.,.,57
VRAB,male,.,.,.,.,29
WDO,female,206,200,185,168,160
WDO,male,129,118,112,124,119
JJJ,female,362,376,394,409,421
JJJ,male,738,734,750,732,707
ZGOC,female,144437,141113,141345,142617,144730
ZGOC,male,118380,116025,115689,116351,117786
ZGOC,na,.,.,.,11,174
ZGOC,sup,.,.,.,.,6
